route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Limited,417:20260430,417:20260430,San Francisco,417,0,,,1,1
Local Weekday,173:20260430,173:20260430,San Francisco,173,0,,,1,1
Local Weekend,645:20260430,645:20260430,San Francisco,645,0,,,1,1
Local Weekend,654:20260430,654:20260430,Tamien,654,1,,,1,1
Limited,404:20260430,404:20260430,San Jose Diridon,404,1,,,1,1
Local Weekend,646:20260430,646:20260430,Tamien,646,1,,,1,1
Limited,401:20260430,401:20260430,San Francisco,401,0,,,1,1
South County,848:20260430,848:20260430,Gilroy,848,1,,,1,1
Local Weekday,143:20260430,143:20260430,San Francisco,143,0,,,1,1
Local Weekday,M135:20260430,M135:20260430,San Francisco,M135,0,,,1,1
Express,511:20260430,511:20260430,San Francisco,511,0,,,1,1
Local Weekday,169:20260430,169:20260430,San Francisco,169,0,,,1,1
Local Weekend,639:20260430,639:20260430,San Francisco,639,0,,,1,1
Local Weekend,647:20260430,647:20260430,San Francisco,647,0,,,1,1
Local Weekend,659:20260430,659:20260430,San Francisco,659,0,,,1,1
Local Weekday,155:20260430,155:20260430,San Francisco,155,0,,,1,1
Local Weekend,632:20260430,632:20260430,San Jose Diridon,632,1,,,1,1
Local Weekday,141:20260430,141:20260430,San Francisco,141,0,,,1,1
Local Weekday,M144:20260430,M144:20260430,Tamien,M144,1,,,1,1
Local Weekday,126:20260430,126:20260430,San Jose Diridon,126,1,,,1,1
Local Weekday,M162:20260430,M162:20260430,San Jose Diridon,M162,1,,,1,1
Local Weekend,631:20260430,631:20260430,San Francisco,631,0,,,1,1
Local Weekday,121:20260430,121:20260430,San Francisco,121,0,,,1,1
Local Weekend,607:20260430,607:20260430,San Francisco,607,0,,,1,1
Local Weekend,617:20260430,617:20260430,San Francisco,617,0,,,1,1
Express,519:20260430,519:20260430,San Francisco,519,0,,,1,1
South County,819:20260430,819:20260430,San Jose Diridon,819,0,,,1,1
Local Weekday,M174:20260430,M174:20260430,San Jose Diridon,M174,1,,,1,1
Local Weekend,643:20260430,643:20260430,San Francisco,643,0,,,1,1
South County,811:20260430,811:20260430,San Jose Diridon,811,0,,,1,1
Local Weekday,M105:20260430,M105:20260430,San Francisco,M105,0,,,1,1
Local Weekend,637:20260430,637:20260430,San Francisco,637,0,,,1,1
Local Weekday,105:20260430,105:20260430,San Francisco,105,0,,,1,1
Local Weekend,635:20260430,635:20260430,San Francisco,635,0,,,1,1
Limited,408:20260430,408:20260430,San Jose Diridon,408,1,,,1,1
Local Weekday,M153:20260430,M153:20260430,San Francisco,M153,0,,,1,1
Local Weekend,610:20260430,610:20260430,Tamien,610,1,,,1,1
Local Weekday,M116:20260430,M116:20260430,Tamien,M116,1,,,1,1
Local Weekday,152:20260430,152:20260430,Tamien,152,1,,,1,1
Local Weekday,M158:20260430,M158:20260430,San Jose Diridon,M158,1,,,1,1
Local Weekday,M132:20260430,M132:20260430,Tamien,M132,1,,,1,1
Local Weekday,M142:20260430,M142:20260430,San Jose Diridon,M142,1,,,1,1
Local Weekday,146:20260430,146:20260430,San Jose Diridon,146,1,,,1,1
Local Weekend,652:20260430,652:20260430,San Jose Diridon,652,1,,,1,1
Local Weekday,132:20260430,132:20260430,Tamien,132,1,,,1,1
Local Weekday,M119:20260430,M119:20260430,San Francisco,M119,0,,,1,1
Local Weekend,626:20260430,626:20260430,Tamien,626,1,,,1,1
Express,503:20260430,503:20260430,San Francisco,503,0,,,1,1
Express,514:20260430,514:20260430,San Jose Diridon,514,1,,,1,1
Local Weekday,M141:20260430,M141:20260430,San Francisco,M141,0,,,1,1
Local Weekday,124:20260430,124:20260430,Tamien,124,1,,,1,1
Local Weekday,M172:20260430,M172:20260430,Tamien,M172,1,,,1,1
Local Weekday,M176:20260430,M176:20260430,Tamien,M176,1,,,1,1
Express,518:20260430,518:20260430,San Jose Diridon,518,1,,,1,1
Local Weekend,614:20260430,614:20260430,Tamien,614,1,,,1,1
Local Weekend,628:20260430,628:20260430,San Jose Diridon,628,1,,,1,1
Local Weekday,M165:20260430,M165:20260430,San Francisco,M165,0,,,1,1
Local Weekday,M130:20260430,M130:20260430,San Jose Diridon,M130,1,,,1,1
Local Weekday,M115:20260430,M115:20260430,San Francisco,M115,0,,,1,1
Local Weekend,665:20260430,665:20260430,San Francisco,665,0,,,1,1
Express,510:20260430,510:20260430,San Jose Diridon,510,1,,,1,1
Local Weekday,M152:20260430,M152:20260430,Tamien,M152,1,,,1,1
Local Weekday,134:20260430,134:20260430,San Jose Diridon,134,1,,,1,1
Local Weekday,150:20260430,150:20260430,San Jose Diridon,150,1,,,1,1
Local Weekday,M103:20260430,M103:20260430,San Francisco,M103,0,,,1,1
Local Weekend,608:20260430,608:20260430,San Jose Diridon,608,1,,,1,1
Local Weekend,649:20260430,649:20260430,San Francisco,649,0,,,1,1
Local Weekday,M125:20260430,M125:20260430,San Francisco,M125,0,,,1,1
Local Weekday,M167:20260430,M167:20260430,San Francisco,M167,0,,,1,1
Local Weekend,638:20260430,638:20260430,Tamien,638,1,,,1,1
South County,809:20260430,809:20260430,San Jose Diridon,809,0,,,1,1
Local Weekend,660:20260430,660:20260430,San Jose Diridon,660,1,,,1,1
Local Weekend,630:20260430,630:20260430,Tamien,630,1,,,1,1
Local Weekday,149:20260430,149:20260430,San Francisco,149,0,,,1,1
Local Weekday,M161:20260430,M161:20260430,San Francisco,M161,0,,,1,1
Local Weekday,M160:20260430,M160:20260430,Tamien,M160,1,,,1,1
Local Weekday,167:20260430,167:20260430,San Francisco,167,0,,,1,1
South County,805:20260430,805:20260430,San Jose Diridon,805,0,,,1,1
Local Weekday,111:20260430,111:20260430,San Francisco,111,0,,,1,1
Local Weekday,131:20260430,131:20260430,San Francisco,131,0,,,1,1
Limited,412:20260430,412:20260430,San Jose Diridon,412,1,,,1,1
Local Weekend,612:20260430,612:20260430,San Jose Diridon,612,1,,,1,1
Local Weekend,622:20260430,622:20260430,Tamien,622,1,,,1,1
