route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed,safe_duration_factor,safe_duration_offset
Local Weekday,M104:20260831,M104:20260831,Tamien,M104,1,,,1,1,,,
Local Weekday,M152:20260831,M152:20260831,Tamien,M152,1,,,1,1,,,
Local Weekday,167:20260831,167:20260831,San Francisco,167,0,,,1,1,,,
Express,502:20260831,502:20260831,San Jose Diridon,502,1,,,1,1,,,
Local Weekday,129:20260831,129:20260831,San Francisco,129,0,,,1,1,,,
Local Weekday,172:20260831,172:20260831,Tamien,172,1,,,1,1,,,
Local Weekday,M148:20260831,M148:20260831,Tamien,M148,1,,,1,1,,,
Local Weekend,616:20260831,616:20260831,San Jose Diridon,616,1,,,1,1,,,
Local Weekend,649:20260831,649:20260831,San Francisco,649,0,,,1,1,,,
Express,519:20260831,519:20260831,San Francisco,519,0,,,1,1,,,
Local Weekday,135:20260831,135:20260831,San Francisco,135,0,,,1,1,,,
Local Weekend,626:20260831,626:20260831,Tamien,626,1,,,1,1,,,
Local Weekday,M161:20260831,M161:20260831,San Francisco,M161,0,,,1,1,,,
Local Weekend,630:20260831,630:20260831,Tamien,630,1,,,1,1,,,
Local Weekend,645:20260831,645:20260831,San Francisco,645,0,,,1,1,,,
Local Weekday,M120:20260831,M120:20260831,Tamien,M120,1,,,1,1,,,
Local Weekday,134:20260831,134:20260831,San Jose Diridon,134,1,,,1,1,,,
South County,819:20260831,819:20260831,San Jose Diridon,819,0,,,1,1,,,
Local Weekday,M125:20260831,M125:20260831,San Francisco,M125,0,,,1,1,,,
Local Weekday,M110:20260831,M110:20260831,San Jose Diridon,M110,1,,,1,1,,,
Local Weekend,607:20260831,607:20260831,San Francisco,607,0,,,1,1,,,
Local Weekday,108:20260831,108:20260831,Tamien,108,1,,,1,1,,,
Local Weekday,138:20260831,138:20260831,San Jose Diridon,138,1,,,1,1,,,
South County,822:20260831,822:20260831,Gilroy,822,1,,,1,1,,,
Local Weekday,M146:20260831,M146:20260831,San Jose Diridon,M146,1,,,1,1,,,
Local Weekday,M145:20260831,M145:20260831,San Francisco,M145,0,,,1,1,,,
Local Weekday,M164:20260831,M164:20260831,Tamien,M164,1,,,1,1,,,
Local Weekend,668:20260831,668:20260831,Tamien,668,1,,,1,1,,,
Local Weekday,M106:20260831,M106:20260831,San Jose Diridon,M106,1,,,1,1,,,
Local Weekday,171:20260831,171:20260831,San Francisco,171,0,,,1,1,,,
Local Weekend,601:20260831,601:20260831,San Francisco,601,0,,,1,1,,,
Local Weekday,M168:20260831,M168:20260831,Tamien,M168,1,,,1,1,,,
Local Weekday,148:20260831,148:20260831,Tamien,148,1,,,1,1,,,
Local Weekday,M102:20260831,M102:20260831,San Jose Diridon,M102,1,,,1,1,,,
Limited,409:20260831,409:20260831,San Francisco,409,0,,,1,1,,,
Local Weekend,651:20260831,651:20260831,San Francisco,651,0,,,1,1,,,
Local Weekday,M119:20260831,M119:20260831,San Francisco,M119,0,,,1,1,,,
Local Weekend,613:20260831,613:20260831,San Francisco,613,0,,,1,1,,,
Express,510:20260831,510:20260831,San Jose Diridon,510,1,,,1,1,,,
Local Weekday,M115:20260831,M115:20260831,San Francisco,M115,0,,,1,1,,,
Local Weekend,619:20260831,619:20260831,San Francisco,619,0,,,1,1,,,
Local Weekday,M109:20260831,M109:20260831,San Francisco,M109,0,,,1,1,,,
Local Weekday,M121:20260831,M121:20260831,San Francisco,M121,0,,,1,1,,,
Local Weekday,141:20260831,141:20260831,San Francisco,141,0,,,1,1,,,
Local Weekday,M144:20260831,M144:20260831,Tamien,M144,1,,,1,1,,,
Local Weekend,612:20260831,612:20260831,San Jose Diridon,612,1,,,1,1,,,
South County,811:20260831,811:20260831,San Jose Diridon,811,0,,,1,1,,,
Local Weekday,125:20260831,125:20260831,San Francisco,125,0,,,1,1,,,
Local Weekday,M116:20260831,M116:20260831,Tamien,M116,1,,,1,1,,,
Local Weekday,M172:20260831,M172:20260831,Tamien,M172,1,,,1,1,,,
Local Weekday,113:20260831,113:20260831,San Francisco,113,0,,,1,1,,,
Local Weekday,126:20260831,126:20260831,San Jose Diridon,126,1,,,1,1,,,
Local Weekday,M163:20260831,M163:20260831,San Francisco,M163,0,,,1,1,,,
South County,825:20260831,825:20260831,San Jose Diridon,825,0,,,1,1,,,
Local Weekend,623:20260831,623:20260831,San Francisco,623,0,,,1,1,,,
Local Weekday,165:20260831,165:20260831,San Francisco,165,0,,,1,1,,,
Local Weekday,M165:20260831,M165:20260831,San Francisco,M165,0,,,1,1,,,
Local Weekday,124:20260831,124:20260831,Tamien,124,1,,,1,1,,,
Local Weekend,610:20260831,610:20260831,Tamien,610,1,,,1,1,,,
Limited,412:20260831,412:20260831,San Jose Diridon,412,1,,,1,1,,,
Local Weekend,646:20260831,646:20260831,Tamien,646,1,,,1,1,,,
Local Weekend,663:20260831,663:20260831,San Francisco,663,0,,,1,1,,,
